week	confct in 1wk	confct in 4wks	confct in 12wks
(2014, 30)	18	88	308
(2014, 31)	28	86	337
(2014, 32)	0	88	318
(2014, 33)	42	117	363
(2014, 34)	16	123	345
(2014, 35)	30	148	345
(2014, 36)	29	166	319
(2014, 37)	48	145	339
(2014, 38)	41	97	326
(2014, 39)	48	103	291
(2014, 40)	8	64	243
(2014, 41)	0	101	235
(2014, 42)	47	125	237
(2014, 43)	9	94	191
(2014, 44)	45	89	185
(2014, 45)	24	93	142
(2014, 46)	16	104	123
(2014, 47)	4	94	128
(2014, 48)	49	90	127
(2014, 49)	35	41	95
(2014, 50)	6	8	96
(2014, 51)	0	3	194
(2014, 52)	0	6	209
(2015, 1)	2	8	209
(2015, 2)	1	11	209
(2015, 3)	3	31	226
(2015, 4)	2	31	255
(2015, 5)	5	46	272
(2015, 6)	21	77	267
(2015, 7)	3	160	247
(2015, 8)	17	172	244
(2015, 9)	36	155	228
(2015, 10)	104	121	196
(2015, 11)	15	35	92
(2015, 12)	0	52	77
(2015, 13)	2	71	77
(2015, 14)	18	69	78
(2015, 15)	32	52	60
(2015, 16)	19	20	28
(2015, 17)	0	2	9
(2015, 18)	1	6	11
(2015, 19)	0	5	10
(2015, 20)	1	5	10
(2015, 21)	4	4	9
(2015, 22)	0	3	7
(2015, 23)	0	3	7
(2015, 24)	0	3	7
(2015, 25)	3	3	8
(2015, 26)	0	2	None
(2015, 27)	0	2	None
(2015, 28)	0	2	None
(2015, 29)	2	2	None
(2015, 30)	0	2	None
(2015, 31)	0	2	None
(2015, 32)	0	2	None
(2015, 33)	2	3	None
(2015, 34)	0	None	None
(2015, 35)	0	None	None
(2015, 36)	1	None	None
(2015, 37)	None	None	None
